run_number,run_dir,status,reason,inventory_path,figure_notes_path,animation_count,total_frames,animations
986,outputs/experiments/986_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx60_linear_receiver_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
985,outputs/experiments/985_seed2178309_ringdown050_target_specific_unresolved_summary,skipped,no existing true wavefield GIF,,,0,0,
984,outputs/experiments/984_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources11_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
983,outputs/experiments/983_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
982,outputs/experiments/982_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
981,outputs/experiments/981_coordinate_optimizer_variable_depth_radius_seed2178309_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
980,outputs/experiments/980_coordinate_optimizer_variable_depth_radius_seed2178309_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
979,outputs/experiments/979_seed1346269_ringdown050_target_specific_rescue_summary,skipped,no existing true wavefield GIF,,,0,0,
978,outputs/experiments/978_coordinate_optimizer_variable_depth_radius_seed1346269_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
977,outputs/experiments/977_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
976,outputs/experiments/976_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
975,outputs/experiments/975_coordinate_optimizer_variable_depth_radius_seed1346269_target0_sources11_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
974,outputs/experiments/974_coordinate_optimizer_variable_depth_radius_seed1346269_target0_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
973,outputs/experiments/973_coordinate_optimizer_variable_depth_radius_seed1346269_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
972,outputs/experiments/972_seed832040_ringdown050_target_specific_rescue_summary,skipped,no existing true wavefield GIF,,,0,0,
971,outputs/experiments/971_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
970,outputs/experiments/970_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
969,outputs/experiments/969_coordinate_optimizer_variable_depth_radius_seed832040_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
968,outputs/experiments/968_coordinate_optimizer_variable_depth_radius_seed832040_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
967,outputs/experiments/967_seed514229_ringdown050_target_specific_rescue_summary,skipped,no existing true wavefield GIF,,,0,0,
966,outputs/experiments/966_coordinate_optimizer_variable_depth_radius_seed514229_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
965,outputs/experiments/965_coordinate_optimizer_variable_depth_radius_seed514229_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
964,outputs/experiments/964_coordinate_optimizer_variable_depth_radius_seed514229_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
963,outputs/experiments/963_coordinate_optimizer_variable_depth_radius_seed514229_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
